Long,Lat,Star,Country
-73.937056134464,40.8045355092144,1.5,USA
-73.91685,40.83443,3.0,USA
-73.9417837,40.8124525,3.5,USA
-73.9262524489349,40.8296582707176,1.0,USA
-73.9003802,40.8230893,3.0,USA
-73.90863,40.81299,2.0,USA
-73.9204446024512,40.8249290109633,2.0,USA
-73.925225,40.828429,2.0,USA
-73.9396,40.83588,3.0,USA
-73.920871,40.835829,1.5,USA
-73.9447835513302,40.8337324320757,3.0,USA
-73.938098039174,40.8294972961189,3.0,USA
-73.937805,40.829033,3.0,USA
-73.943611,40.826175,2.0,USA
-73.9378464142634,40.8383018709436,2.5,USA
-73.9089305698872,40.8234165082702,3.0,USA
-73.94253,40.83684,3.0,USA
-73.9204460910156,40.8249534100062,1.0,USA
-73.9081827,40.8351864,1.0,USA
-73.9433642036686,40.8354260227305,2.0,USA
-73.90866,40.8238399,3.5,USA
-73.919899,40.835136,1.0,USA
-73.910183,40.824981,2.0,USA
-73.940749,40.824983,2.5,USA
-73.94109,40.8311,2.5,USA
-73.91731,40.82734,2.0,USA
-73.9403,40.83672,3.0,USA
-73.9442,40.82363,2.0,USA
-73.9404906048521,40.8250306057558,3.0,USA
-73.93693,40.80481,3.0,USA
-73.9025884,40.8360751,1.0,USA
-73.9368648,40.8019829,2.5,USA
-73.944335,40.835319,1.5,USA
-73.94409,40.80148,3.0,USA
-73.93898,40.82592,1.0,USA
-73.9279075,40.8293315,1.5,USA
-73.901987,40.819665,2.5,USA
-73.94408,40.82359,3.0,USA
-73.8985,40.81749,1.0,USA
-73.9448166,40.8345642,1.5,USA
-73.94115,40.83845,1.5,USA
-73.943411,40.835588,1.0,USA
-73.94588,40.81605,3.0,USA
-73.9441604614258,40.8069076538086,1.0,USA
-73.9246216,40.8271141,2.0,USA
-73.99136,40.75369,4.0,USA
-73.98582,40.74964,4.5,USA
-74.00208,40.75112,4.0,USA
-73.9923361,40.7591968,4.0,USA
-73.995229748466,40.7487508496393,4.0,USA
-73.990649,40.748297,4.0,USA
-73.9958265,40.759624,4.0,USA
-73.98674,40.74779,4.5,USA
-73.9988054,40.7443479,4.0,USA
-73.9844951,40.7502727,4.0,USA
-73.995422,40.750076,4.0,USA
-73.9854583740234,40.7502555847168,4.5,USA
-73.98499,40.74545,4.5,USA
-73.99031,40.76054,5.0,USA
-73.99012,40.75558,4.0,USA
